price,bedrooms,bathrooms,sqft_living,yr_built
197000,3,1.75,1690,1976
485000,3,2,1420,1905
1870000,5,4,4510,1969
295000,3,2.25,1980,1974
499000,2,1.75,1170,1903
1050000,3,2.5,2200,2008
191000,3,1.5,800,1959
500000,3,2.5,1480,2006
390000,5,3.75,2890,2006
979000,3,2.5,2690,2014
580000,4,3.25,3569,2013
369950,3,2,1270,2006
1800000,5,5,4490,2013
776000,4,2.5,3040,2008
519950,3,2.25,1170,2014
255000,5,2.25,2060,1962
495000,3,1,990,1943
510000,4,2.5,2430,2003
1150000,4,4,4460,2001
253000,3,1.75,1250,1994
503000,3,2.75,1540,1980
275000,3,2.5,1600,1993
249000,3,1,1110,1952
310000,3,1.75,1840,1974
750000,3,2.75,2520,1946
630000,3,2.5,2680,1995
599999,9,4.5,3830,1938
758000,4,2.75,2410,1956
248500,4,1.75,1720,1960
310000,3,1.75,2070,1973
460000,3,2,1760,1985
675000,3,1.75,1680,1959
526000,2,2,1550,1900
560000,3,3,4120,1994
415000,4,3,1830,1991
246000,3,1,1400,1944
314500,3,1.75,1870,1957
3200000,7,4.5,6210,1910
420000,2,1.5,1040,1904
535000,3,1.75,2720,1988
350000,3,1,1010,1981
515000,3,1.75,1580,1967
749950,4,2.75,2600,1949
230000,3,2.5,1920,1988
568000,3,2,2350,1929
250000,1,1,1100,1947
581000,4,2,2510,1961
651000,3,2.5,3240,1991
600000,3,2.5,2460,1977
500000,2,1,1010,1906
475000,2,1,820,1921
352000,5,2.5,2420,1978
420000,3,2.25,1770,1977
428000,2,2,1350,2003
599000,3,1.75,1960,1920
492000,4,2.5,3305,1922
630000,2,2.25,2550,2011
900000,5,3.75,4130,1985
1110000,4,1.5,2310,1950
575000,4,2,1650,1955
705000,4,2.5,2650,1905
940000,4,2.25,1890,1963
313000,3,1.75,2190,1967
618080,3,2.5,2030,1988
640000,3,3,2270,2002
485000,3,2,1610,1917
300000,2,1,760,1913
379500,2,1,1640,1978
339950,3,2.25,1630,1985
1500000,6,2.5,3560,1914
1340000,3,3,2960,1937
500000,3,2.5,1940,1987
239900,3,2,1410,1985
314950,3,1,1040,1968
361280,2,1,820,1944
100000,2,1,910,1956
540000,7,5.75,3700,1948
480500,4,2.5,2180,1968
280000,3,2.5,1600,2000
440000,3,1.75,1500,1947
530000,3,1,1340,1910
560000,3,2,1860,1985
775000,3,2,2540,1905
160000,2,1,1040,1912
209950,3,1.5,1380,1960
226500,3,1.75,1640,1988
380000,5,1.75,3000,1958
409500,4,2.75,2140,1968
690000,3,2,1760,1942
405000,3,2.25,1660,1961
375000,3,2.5,1830,1990
794154,4,2,2210,1954
185000,4,1,1490,1969
245000,3,1.5,1260,2005
1532500,5,4.5,4270,2007
1040000,4,3.5,3900,2006
425000,2,2.5,1150,2008
495000,4,2.75,2656,2014
365000,5,2.75,2410,2008
417250,3,2.25,1606,2009
339950,2,1,820,2006
615000,2,1,1540,1946
403000,3,2.75,2090,2012
980000,5,2.5,3160,1971
258000,4,1.75,1730,1977
533000,3,1,1670,1967
537500,4,2.5,2550,2005
830000,5,3,3040,1968
712000,3,1,1250,1900
262000,4,2.5,2020,2002
753888,4,2.5,2660,2003
134000,2,1.5,980,1922
402000,3,2.5,1960,1977
205000,2,1,720,1955
553650,2,2.5,1360,1997
559950,2,2,1870,2006
260000,4,1.5,2130,1962
270000,4,2.5,1810,1994
295000,2,1.75,2200,1973
719000,3,2.5,1690,1928
266000,3,2.5,1940,1989
325900,4,2.5,2320,2004
647500,4,1.75,2060,1947
1039000,4,1,3410,1910
569000,4,2.25,2250,1980
246000,3,1.75,1390,1975
515000,2,1,1060,1926
207000,3,1,1490,1954
780000,4,1.75,2480,1950
489990,5,2.25,2440,1975
335000,3,1.5,2240,1980
295000,3,2.5,1920,1993
385000,3,1.75,1890,1944
350000,4,1.75,2250,1940
235000,2,1,1270,1923
358000,2,1.5,960,1993
716500,4,2.5,3290,2002
228000,4,1.75,2000,1965
405000,2,1,1020,1948
538000,4,1.75,1840,1967
530000,3,1.75,1980,1973
1750000,6,3,3510,1906
636000,2,1.75,1230,1925
535000,4,2.5,2280,2004
1500000,3,1.75,2430,1952
868500,3,2.5,2920,2008
530000,4,2.75,2280,1930
450000,3,2,1510,1954
230000,3,1.75,950,1939
229000,3,2.5,1190,2002
437000,3,1.75,1310,1976
1307000,5,3.25,2800,1932
595000,3,2.5,1750,1991
660000,3,1.75,1320,1918
347500,4,2.5,2460,1989
297950,3,2,1240,1967
245000,3,1.5,1260,1955
543200,6,2.25,2820,1940
1250000,4,3.25,3820,1990
413450,3,2.5,1540,2008
330000,2,2,1550,1972
424500,3,1.75,1460,1979
230000,3,1,1390,1960
930000,3,3.25,2640,1912
349000,3,1.75,1590,1988
835000,4,2,1910,1941
988500,3,2.75,2015,2007
500000,3,1.75,1410,2012
499000,2,1.5,1110,2005
321950,2,1.25,860,2007
494000,3,2.5,2310,2011
441750,2,1.5,1020,2008
438000,2,1,980,2010
985000,4,2.25,4230,1989
352000,3,2.25,1640,1972
839900,4,3.5,3810,2013
765000,4,2.75,2790,1996
460000,4,1.75,1750,1926
224500,4,1,1430,1983
254000,3,2.5,1850,2003
255000,2,1,960,1984
610000,3,3,2480,1976
920000,4,3,3750,1976
402500,4,2.5,2600,1988
280950,3,1.75,1390,1912
604000,4,2.5,2260,1989
565000,4,2.25,2470,1984
255000,2,1,810,1928
445000,4,2,1650,1959
2400000,3,2.25,3000,2001
195000,2,1,720,1950
275000,3,1.5,1390,1922
387000,3,2.25,1445,2003
490000,2,1,1840,1910
505000,3,2.5,2100,1999
303500,3,1.5,1060,1973
270000,3,1.5,1500,1953
323000,4,2.75,1970,1977
382000,3,3.25,1410,2005
1370000,4,2.75,3720,1962
280000,4,2,2190,1977
260000,3,2,1920,1969
201500,3,1,1160,1959
1157200,4,4.25,5860,1996
536500,4,1.75,2000,1926
248000,4,3,2163,2006
532000,5,3,3480,1976
580000,4,2.5,2840,1998
463000,2,1,1150,1905
742500,4,2.75,3100,1919
260000,3,2.5,1420,1963
590000,4,2.25,2430,1993
312000,4,2.25,1930,1984
566000,3,2.25,1660,1980
511555,3,2,1400,1963
583000,4,2.5,2660,2001
290000,4,2.5,2000,1968
311100,4,2.25,2130,1977
325000,3,2.25,1352,2007
491300,3,1.75,1750,1987
315000,5,1.75,2320,1956
360000,2,1,1420,1956
330000,4,2.5,1940,2003
481450,3,2,1410,1940
234950,3,1,1360,1977
251000,3,1.75,1220,1962
782000,4,2.5,2830,1979
833000,4,2.75,3780,1999
542500,4,2.5,2330,1978
851000,3,2.5,3560,1987
325000,4,1.5,1470,1976
415000,4,2.25,3060,1992
252500,3,1,1030,1947
465000,4,2.5,1930,1968
336900,3,1.75,1780,1979
225000,3,2.5,2000,1992
270000,3,2,1690,1969
1702500,5,4.5,5190,1987
536000,3,1.75,1300,1925
585000,4,3.25,2400,1982
445000,2,2,1150,1940
320000,4,2.25,2310,1980
769900,4,3.5,2730,2006
557000,4,2.5,2840,2012
212000,2,1.5,1020,2004
376000,3,2,1340,2008
800000,4,3.25,3540,2007
2238888,5,6.5,7270,2010
324000,3,2.25,998,2007
549900,5,2.75,3060,1979
320000,3,2.5,2130,2003
875000,4,2,2520,1921
265000,4,1,1940,1962
394950,3,2.5,1350,2006
842500,4,2.5,2160,1902
368000,3,2.5,1370,2007
1225000,4,4.5,5420,2001
885000,4,2.5,2830,1995
453246,3,2.5,2010,2014
927000,4,2.75,3300,1953
490000,2,2.5,1230,2004
341000,3,1.5,1720,1952
235000,1,1,810,1941
1200000,3,1.75,1560,1928
560000,3,2,2560,1986
900000,4,3.25,4700,1978
255000,2,1,1220,1910
1575000,5,2.75,3650,1975
876650,3,3.25,2170,1928
540000,4,2.25,2540,1990
350000,2,1,910,1906
750000,4,2.5,2980,2000
582000,4,1.75,2120,1951
1315000,4,3.5,3460,2004
372500,5,3,2480,2004
410000,3,2.25,2200,1987
360000,4,2,1730,1943
1015000,3,2.5,2920,1954
225000,3,1,990,1966
647000,4,2.5,3040,1999
950000,5,3,4530,2003
185000,3,1.5,1370,1961
335000,3,2.5,1940,2004
210000,3,2.5,1040,2004
522000,4,2.25,1800,1980
770000,3,1.75,1720,1954
499950,3,1,980,1941
751000,4,2.5,3110,2004
330000,5,3,2100,2013
465000,3,1.5,2020,1956
850000,4,1.75,2350,1961
947500,4,2.25,3290,1968
302000,5,2.25,2180,1986
500000,2,2.25,1290,2007
201000,3,1,1460,1969
265000,2,1,1290,2008
870300,4,2.5,2350,1910
339000,3,1,1080,1955
690000,4,2.5,2670,1989
788000,4,3.25,3680,2003
315275,3,1.75,1440,1951
505000,4,1.75,1940,1922
368000,3,1,1280,1968
947500,3,2.75,2980,1917
156000,3,1,970,1959
610000,4,3,2110,1930
420000,2,2.5,1480,2009
192000,2,1,700,1953
910000,3,2,2700,1962
1300000,4,3.25,2330,1918
1346400,5,1.75,3380,1963
840000,4,2.75,2600,1936
300000,2,1.75,1360,1975
505000,4,2.5,2780,1978
110000,3,1,1250,1945
746000,3,2.5,2620,1992
211000,3,1.5,1350,1941
675000,4,3,2400,1964
734200,4,2.5,2760,1928
1225000,4,2.25,3070,1976
615000,2,1.75,2040,1919
630000,4,2,1770,1911
1264000,4,3.75,3490,2012
301500,2,1.5,830,2005
369000,2,2.5,980,2009
635000,3,2.5,1570,2010
1033888,4,3.25,3270,2014
383000,4,2.5,2160,2010
1050000,4,3.75,3280,2008
455000,4,2.5,3360,2001
819900,5,2.75,3150,2013
625000,3,3.5,1810,2009
651000,4,2.5,2740,1993
480000,5,4.75,3830,1976
757000,3,3.25,3190,2007
460000,3,2.25,2350,1977
267345,4,2.25,2510,1972
530000,2,2,1680,2006
449500,3,2,1770,1954
289000,3,1,1090,1981
373000,5,2.5,3001,2006
525000,5,3,2450,1994
777000,3,3.25,3610,2003
550000,4,2,2250,1956
523000,3,1.5,1240,1957
628000,4,2,2260,1958
581000,4,1.75,2090,1963
245000,5,1.75,2020,1962
415000,3,1.75,1960,1911
1895000,5,2.25,3120,1969
225000,3,1.5,1250,1967
287000,3,2.25,1490,1987
799200,6,3,2890,1906
239950,3,1,1900,1942
591000,3,1.75,1680,1922
700000,3,2.5,2030,1975
475000,4,2.5,3740,2004
575000,3,1.75,1580,1951
771000,3,2.25,1780,1927
155000,2,1,910,1943
550000,7,4,3440,1970
645000,3,2.5,1740,1975
464000,5,2.5,3400,1959
1050000,4,3.25,4400,2003
350000,3,2.5,2010,1977
591000,4,2.25,2710,1977
2555000,4,2.5,5300,1923
717000,3,1.5,1310,1956
225000,4,1.5,1950,1939
225000,3,1,1040,1947
345000,3,1.75,1090,1968
230000,2,0.75,650,1931
385000,3,2,1480,1943
90000,2,1,790,1973
860000,4,2.5,3560,1986
675000,4,2.5,3000,2006
975000,4,2.5,3490,2000
780000,3,1.75,2340,1967
370000,3,1.75,1650,1951
665000,3,2,1940,1944
675000,5,3,3410,1968
620000,3,1,1710,1909
1105000,4,1.5,2740,1905
450000,3,2.75,1250,2010
450000,3,2.25,2450,1978
530000,3,1.75,1690,1958
635000,4,1.75,1950,1969
580000,5,2,2290,1964
1550000,5,3.25,3370,1982
285000,3,1,1090,1973
375000,3,1,1190,1953
1400000,5,4.25,3530,2001
560000,3,1,1440,1910
405000,4,1.75,2180,1956
413000,4,1,1410,1925
287600,3,2.5,1950,1990
1680000,5,3.25,4860,1989
225000,3,1,1660,1963
319000,3,1,1390,1968
322500,3,2,1350,1989
570000,3,2,1530,1937
465000,3,1.5,1270,1950
435000,4,2.25,2140,2002
502000,4,2.5,2040,2012
525000,3,3.5,2876,2007
525000,3,2.5,1580,2008
660000,4,3.5,3400,2012
870000,4,2.5,3520,2006
650000,4,2.5,2210,2013
505000,4,2.5,2790,2009
330000,3,2.5,1450,2007
385000,4,1.75,1620,1947
306000,3,1.5,1220,2007
546000,3,1.75,2000,1921
925000,4,2.5,2190,1958
542000,4,1.75,1900,1955
800000,3,1,1700,1906
620000,5,2.5,2540,1929
175000,2,1,1170,1911
740000,5,5,5774,1984
345000,3,2.25,2120,1984
510000,3,1.75,2170,1986
530000,4,2.75,2450,1974
155000,2,1,700,1952
266000,3,2.5,1780,1986
257200,3,2,1850,1952
265000,3,2,1570,1998
372220,3,1,1290,1951
337500,5,2,1700,1956
582500,2,1.5,1159,1948
489200,3,2.75,1850,1965
405100,2,1,840,1947
372977,3,2.5,1690,2014
310000,3,1,1050,1953
538000,3,1.75,1400,1904
1400000,3,2.5,2550,1981
317000,3,2.5,1840,2012
702500,3,1.5,2360,1926
565000,4,2.5,2240,1989
723000,4,2.5,2700,2004
766950,3,2.5,3030,1992
682000,3,1.75,1830,1903
325000,3,2.5,2220,1990
543000,3,2.5,2090,1962
525000,3,1.75,1600,1924
364000,4,1.75,2010,1957
394475,2,1,830,1955
316000,4,2.5,2010,1995
339950,3,1,1050,1906
486000,4,2.5,2150,1978
160000,3,1,860,1963
930000,3,2.5,3100,1954
139000,3,1,1100,1978
562000,3,1.5,1830,1957
299000,2,1.75,1250,1950
511000,3,2.5,1820,2005
499000,3,2,2090,1959
356000,3,3.5,2100,1980
470000,4,2.5,2310,1991
715000,4,2.25,2060,1941
1120000,4,2.25,4470,1988
458000,3,1,1660,1940
966000,5,4.5,3810,2008
305495,3,1.75,2110,1966
543000,2,2,2370,1992
340000,3,2.25,1970,1997
633100,4,2.5,2470,1993
310000,3,1,1480,1952
349950,5,3,2257,2005
267800,2,1,700,1949
234000,4,2,1630,1975
740000,4,2.5,3430,2000
607500,5,1.75,2220,1923
223000,3,1.75,1340,1973
400000,2,1,980,1918
802000,3,2.5,2580,1986
253000,4,2.5,2230,2006
1058000,4,2,2290,1955
300000,3,1,1260,1946
625000,4,2.75,1680,1966
707000,4,3.25,3200,2004
950000,4,2.5,3320,1995
420000,4,2.5,3040,1999
498000,4,2.75,2270,1973
450000,3,2.5,2910,1989
955000,5,2.25,2510,1972
215000,2,1,1240,1967
437000,3,2.75,2580,2008
773000,3,2.75,2470,2007
1222500,4,3.5,4910,2007
256883,3,2.5,1690,2003
592500,4,2.5,2240,1983
252350,3,2,1650,1979
370000,4,2.5,2710,1998
465750,3,1.5,1260,1959
185000,3,1,1150,1932
582800,4,2.75,2550,1986
245000,3,1.75,1490,1990
302000,4,1.75,2020,1963
451555,2,1,1320,1912
250000,3,1,1230,1957
255000,4,2.5,2070,1989
840000,4,1.75,2930,1947
190000,3,1,1090,1967
349950,3,1,1400,1957
613000,4,2,1550,1909
300000,3,1,1220,1955
455000,3,2.5,1870,1980
335000,3,2.25,2150,1991
197500,3,1,980,1903
412500,3,1.5,1490,1963
395300,3,1.5,1120,1955
342400,3,2.25,1180,1986
749400,4,2.5,3240,1985
316500,4,2.5,2150,1991
390000,3,2.5,2240,1996
225000,3,2,1400,1979
550000,3,2.25,1980,1980
280000,3,1,1330,1959
1255000,4,2.5,3200,2006
575000,2,1,1490,1946
1000000,5,4.25,3920,1990
585000,5,1.75,2000,1921
620000,4,2.5,2680,1989
204700,4,2,1670,1967
695000,4,3,3150,2001
689900,4,3.25,2740,2003
375000,4,1.75,1890,1960
475000,7,3.5,2870,1961
215000,3,1,1160,1969
2100000,4,1.75,3550,1962
790000,3,1.75,1790,1940
350000,3,1.75,1680,1940
695000,3,2.5,4560,1986
263000,3,2.25,1590,1991
400000,3,1,1630,1953
525000,3,2.5,2700,1991
349950,3,2.5,1700,1994
1085000,4,3.25,3740,1988
744000,4,3,1980,1941
312500,2,1,880,1919
240000,3,2,1400,1948
495000,4,2,2050,1941
580050,3,2.5,2360,1996
640000,4,2,2560,1947
417000,3,1.5,1340,1956
174950,3,1,1060,1970
295000,3,1.5,850,1986
423000,4,1.75,1880,1976
839000,3,1,1230,1955
343000,4,1.75,2290,1960
467000,3,1,1660,1946
512500,3,2.5,1840,1997
575000,4,2.5,3020,1979
465000,3,1.75,1410,1924
270000,3,1,1010,1969
340000,3,1.75,1960,1948
765000,5,3.75,3580,1999
497000,4,2.5,2240,1995
803100,4,2.5,3310,2004
344000,3,2.5,1232,2007
828950,4,3.5,3930,2013
386380,3,2.5,1720,2010
312000,3,2.25,1490,2009
720000,3,2.5,3150,2007
914500,4,2.5,3950,2013
819995,5,2.75,3030,2013
252700,2,1.5,1070,1985
437500,3,2.5,2320,1992
350000,1,1,700,1942
619000,3,2.5,2720,2005
408200,3,2.5,1800,1990
451000,3,1.75,1560,1926
317000,3,2,1760,1977
799000,4,3.25,3120,2005
720000,2,1,2020,1947
490000,3,2,1450,1900
239900,4,2.25,1860,1979
446000,4,2.25,2270,1977
275000,3,2.5,1480,1987
239950,5,1,1460,1941
248000,4,3.5,1850,1986
619500,3,2.5,2170,2003
363750,3,1.75,1726,1982
385000,3,1.75,1180,1981
370000,4,1.5,1370,1972
425000,3,2.5,2670,1988
342000,3,1,1260,1944
345000,4,1,1980,1962
724800,3,2,2050,1926
725000,5,2.75,2830,2006
605000,2,1,910,1909
350000,4,2.5,2440,2009
785000,3,2,2180,1904
250000,3,2,1900,1966
565000,3,2.25,1520,2013
875000,3,2,2220,1947
862500,4,2.75,3280,1996
400000,3,2.5,2740,1973
282613,2,1,830,1954
174500,2,1,1010,1955
306500,3,2.25,2060,1978
445000,3,2.25,1990,1984
433000,4,2.5,2280,2001
306000,3,2.5,1870,2005
620000,3,2.25,1720,1921
245000,2,1,870,1941
238000,3,2,1020,2004
523000,3,1.5,1260,1931
522500,3,2.5,2370,2003
180000,3,1,1000,1940
375000,3,1.5,1100,2007
249000,3,2.25,1440,1982
730100,4,2.5,3120,2003
551000,2,2,2260,1990
375000,4,2.5,2790,2005
540000,1,1,1140,1920
605000,3,2.25,1290,1987
205000,5,1.75,1730,1978
645000,4,2.5,3160,1983
314000,4,2.5,2340,2003
330000,3,1.5,1170,1960
490000,2,1,1160,1937
445000,3,3,1970,2010
2000000,5,4.25,6490,1991
377500,3,2.25,1410,2005
480000,4,2.5,2430,2009
804995,5,1.5,3360,2014
341000,3,2.5,1480,2012
675000,5,2.5,3200,2009
611000,3,2.5,2134,2008
379950,3,3.25,1860,2007
1270000,4,3,5520,2008
500000,2,2.5,1310,2006
410000,3,2,1700,1944
415000,3,2.5,2480,1986
297000,5,2.5,1970,1994
575550,4,2.5,2060,1985
534640,3,2.5,2130,1994
352500,3,2.25,1410,1987
488000,2,2,1360,1944
732000,3,2,1940,1954
215000,2,2.25,1610,1979
592500,2,2,1420,1928
290000,4,2.5,1700,1988
475000,2,1,1490,1929
320000,3,2.5,2680,1990
1216000,4,2.5,3190,1967
290000,5,1.5,2120,1962
487250,4,2,1690,1901
339000,4,2.5,1830,2003
440000,2,1.5,1010,1906
366500,4,2.75,2070,1945
462000,3,1.5,1710,1928
560000,4,1,1660,1945
285000,4,1.75,2080,1955
280000,3,2.5,1270,1993
210000,3,1,1080,1942
690000,3,2,1610,1940
256500,2,1,1120,1980
411000,4,2.75,2500,1966
215000,3,1,970,1970
762000,5,2,3370,1907
359950,3,1,1290,1960
480000,4,3.5,3370,2005
1405000,4,3.5,3410,2008
390000,4,2.5,2490,1999
413500,2,1,770,1924
285000,1,1.5,810,1982
475000,4,2.5,3060,1968
386591,3,2.5,1690,2014
524950,3,1.75,1890,1974
241000,2,2,1470,2005
461000,2,1,1060,1926
810000,4,2.5,3480,1988
885000,4,2.75,2730,1921
247000,3,2.25,1580,1986
296500,3,2.75,2170,1978
141800,2,1,930,1942
333000,4,2,1580,1906
602000,5,1.75,3290,1973
565000,4,2.25,2110,1979
373000,3,2.5,1670,1999
588000,3,2.25,2030,1977
485000,3,1,1500,1926
482500,3,2.25,1450,2005
251200,4,1.5,1310,1953
869000,5,3.25,4180,1979
464000,3,1.75,1630,1967
755000,4,2.5,2660,1993
280000,3,2.5,1720,2005
485000,2,2.25,1260,2004
305000,3,1.75,1610,1981
110700,2,1,680,1941
850000,4,3.5,2640,1937
350000,3,2.25,1640,1985
319950,4,1.75,2310,1976
700000,3,1.75,2010,1912
368000,2,1.5,1660,1908
433500,3,2.5,2200,2009
611000,4,2.5,2460,1998
1000000,2,1.75,2430,1951
307000,3,1,1370,1960
442500,3,1.75,1800,1967
485000,3,1.75,2200,1908
367000,2,1,700,1945
429000,3,2.5,1920,1995
446000,5,2.75,2190,1978
572500,3,2.25,2030,1984
477000,3,2.5,1350,2005
518000,3,2.5,1680,2008
462000,5,1.75,1250,1966
1190000,4,3,2240,1914
137000,3,1,950,1954
530000,3,3.5,2320,1997
818000,2,2.5,2380,2011
640000,2,2.25,1540,2007
298450,5,3,2100,2007
575000,4,2.5,2500,2013
730000,4,2.5,3230,2004
551000,3,2.5,2830,2001
271310,2,1,870,1906
675000,4,3,2690,1954
479000,3,2.5,1260,2008
520000,4,3.5,2680,1942
599950,3,2.5,2660,2014
483945,2,1.75,1480,1951
390000,4,2.25,1770,1965
192500,2,1,950,1926
330000,2,1,860,1948
250000,4,2,1960,1978
243000,2,1,1770,1943
575000,4,1.75,1280,1926
639000,4,2.5,2150,1982
710000,2,1,1790,1923
675000,3,2.25,1990,1987
405000,5,2.5,2430,2001
615000,4,2.75,2820,1965
490000,3,1,1910,1946
467000,3,2.25,1270,2005
480000,4,2.75,2050,1986
755000,6,2,2150,1952
760000,4,1.75,2450,1987
387000,2,2.25,1230,2012
925000,4,2.25,2260,1967
415000,2,1,1050,1943
263000,3,1.75,1570,1982
519900,4,2,1820,1967
570000,2,1.75,1540,1908
450000,3,1.5,2060,1953
1300000,4,3.5,4380,2001
300000,3,1,1090,1955
320000,3,1.75,1480,1965
387500,4,1,1320,1929
458000,1,2.25,2140,1976
